City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Pangnirtung,CA,66.1451,-65.7125,-4.23,84,4,6.67,clear sky
80,Byron Bay,AU,-28.65,153.6167,67.71,79,92,13.73,overcast clouds
81,Cockburn Town,TC,21.4612,-71.1419,77.11,81,60,25.88,broken clouds
82,Petauke,ZM,-14.2426,31.3253,70.83,81,88,5.1,overcast clouds
83,Tiksi,RU,71.6872,128.8694,4.19,91,98,3.94,overcast clouds
84,Mongu,ZM,-15.2484,23.1274,70.95,76,88,4.0,overcast clouds
85,Gold Coast,AU,-28.0,153.4333,75.0,84,75,10.36,broken clouds
86,Moerai,PF,-22.4333,-151.3333,80.06,73,20,9.35,few clouds
87,Conde,BR,-7.2597,-34.9075,76.46,94,75,3.44,broken clouds
88,Gigmoto,PH,13.7796,124.39,83.03,70,58,4.85,broken clouds
89,Mahebourg,MU,-20.4081,57.7,81.25,74,75,19.57,broken clouds
90,Esperance,AU,-33.8667,121.9,72.45,59,78,12.15,broken clouds
91,Taoudenni,ML,22.6783,-3.9836,70.52,22,0,9.57,clear sky
92,Zhigansk,RU,66.7697,123.3711,17.67,80,68,7.18,broken clouds
93,San Clemente,US,33.427,-117.612,60.24,79,0,5.01,clear sky
94,Georgetown,MY,5.4112,100.3354,91.33,66,40,10.36,scattered clouds
95,Lebu,CL,-37.6167,-73.65,50.68,92,8,10.33,clear sky
96,Aniva,RU,46.7144,142.5294,46.51,59,1,8.28,clear sky
97,Auray,FR,47.6703,-2.9918,54.75,89,7,7.67,clear sky
98,Jamestown,US,42.097,-79.2353,46.02,68,100,6.91,light rain
99,Amapa,BR,1.0,-52.0,70.34,99,100,1.83,overcast clouds
100,Nadvoitsy,RU,63.8667,34.3167,30.15,86,42,5.32,scattered clouds
101,Sokolo,ML,14.7328,-6.1219,85.44,20,79,5.91,broken clouds
102,Albany,US,42.6001,-73.9662,55.81,40,72,10.69,broken clouds
103,Cape Town,ZA,-33.9258,18.4232,59.92,63,0,13.0,clear sky
104,Talnakh,RU,69.4865,88.3972,27.21,86,100,9.15,overcast clouds
105,Port Alfred,ZA,-33.5906,26.891,56.17,88,92,4.41,overcast clouds
106,Haines Junction,CA,60.7522,-137.5108,26.55,59,100,1.14,overcast clouds
107,Saldanha,ZA,-33.0117,17.9442,54.73,62,1,15.26,clear sky
108,Calabozo,VE,8.9242,-67.4293,82.94,55,59,10.11,broken clouds
109,Grasse,FR,43.6667,6.9167,61.09,57,0,3.44,clear sky
110,Koumac,NC,-20.5667,164.2833,77.52,67,39,5.75,scattered clouds
111,Abu Dhabi,AE,24.4667,54.3667,95.02,31,0,4.61,clear sky
112,Saint-Philippe,RE,-21.3585,55.7679,82.22,84,53,16.02,light rain
113,Sangar,RU,63.9242,127.4739,24.84,83,65,7.9,broken clouds
114,Carutapera,BR,-1.195,-46.02,75.6,93,100,3.69,moderate rain
115,Awbari,LY,26.5921,12.7805,66.22,21,0,11.18,clear sky
116,Half Moon Bay,US,37.4636,-122.4286,56.25,76,100,5.75,overcast clouds
117,Mandan,US,46.8267,-100.8896,14.95,84,40,12.66,scattered clouds
118,Bintulu,MY,3.1667,113.0333,91.81,66,40,6.91,thunderstorm
119,Rio Grande,BR,-32.035,-52.0986,65.08,61,79,9.8,broken clouds
120,Mandalgovi,MN,45.7625,106.2708,44.8,31,2,4.74,clear sky
121,Terrell,US,32.736,-96.2753,74.5,93,100,9.22,overcast clouds
122,Westport,US,41.1415,-73.3579,56.62,62,38,11.99,scattered clouds
123,Rampur,IN,28.8167,79.0333,101.98,8,0,6.96,clear sky
124,Juneau,US,58.3019,-134.4197,33.84,87,75,0.0,broken clouds
125,Atuona,PF,-9.8,-139.0333,79.14,78,20,16.71,light rain
126,Anastasiyevskaya,RU,45.2158,37.8926,50.49,73,31,4.97,scattered clouds
127,Rondonopolis,BR,-16.4708,-54.6356,72.1,79,45,2.33,scattered clouds
128,Mikolow,PL,50.171,18.9041,40.69,93,100,10.89,overcast clouds
129,Rantepao,ID,-2.9701,119.8978,73.15,93,100,1.19,overcast clouds
130,Hirara,JP,24.8,125.2833,71.46,73,75,19.57,broken clouds
131,North Bend,US,43.4065,-124.2243,42.93,93,0,3.44,clear sky
132,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,71.53,100,93,1.43,overcast clouds
133,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.54,75,50,9.78,scattered clouds
134,Tombouctou,ML,20.0,-3.0,67.75,26,0,13.49,clear sky
